ingredient_name,tfda_code,confidence,note
白米,A05002,high,稉米平均值（蓬萊米）
胚芽米,A05010,high,胚芽稉米平均值
糙米,A05013,high,糙稉米平均值
紫米,A0500801,high,黑秈糯糙米
糯米,A05005,medium,稉型糯米平均值；長糯米 361 kcal 差異極小
五穀米,A0510301,high,五穀米
小米,A0200101,high,小米
燕麥,A0800101,high,燕麥
麥片,A0810101,medium,採燕麥片；若實際為大麥片(365)或黑麥片(359)請人工改正
蕎麥,A0900101,high,蕎麥(甜蕎)
薏仁,A1000101,high,薏仁
紅黎麥,A1100101,high,紅藜麥
米粉,R1100301,medium,細米粉；埔里/濁水米粉 357-358 kcal 差異極小
白油麵,R2001101,medium,衛生油麵（熟油麵）
洋芋,B0700201,high,馬鈴薯
山藥,B01002,high,山藥平均值
芋頭,B0500101,high,芋頭
芋頭丁,B0500101,high,芋頭（切丁，同一食材）
芋頭圓,R4100101,high,芋圓
涼薯,B0600101,high,豆薯
豆薯,B0600101,high,豆薯
青木瓜,D0200201,high,青木瓜
紅蘿蔔,E02001,high,胡蘿蔔平均值
胡蘿蔔,E02001,high,胡蘿蔔平均值
蘿蔔,E04001,high,白蘿蔔平均值
白蘿蔔,E04001,high,白蘿蔔平均值
碎菜脯,E0420101,high,蘿蔔乾（菜脯）
結頭菜,E0900101,high,球莖甘藍
桂竹筍,E1100101,high,熟桂竹筍
竹筍,E1400101,medium,麻竹筍；團膳常用，其他竹筍品種 17-25 kcal
筍丁,E1400101,medium,麻竹筍（切丁）
筍片,E1400101,medium,麻竹筍（切片）
筍絲,E1400101,medium,麻竹筍（切絲）
筍乾,R4400801,high,麻竹筍干（乾貨，AP 重量以乾重計）
絞紅蔥頭,E2500101,high,紅蔥頭
洋蔥,E2400301,high,黃洋蔥；白洋蔥同為 42 kcal
薑絲,E1900102,medium,粉薑；嫩薑 21、老薑 53 kcal
韭菜,E2600201,high,韮菜
九層塔,E2700101,high,九層塔
高麗菜,E30001,high,甘藍平均值
荷葉白菜,E3200201,high,荷葉白菜
黑葉白菜,E3200401,high,黑葉白菜(短梗)
千寶菜,E3200501,high,千寶菜
大白菜,E33001,high,結球白菜平均值
芹菜,E37002,high,芹菜平均值
胡瓜,E6400101,high,胡瓜（大黃瓜）
大黃瓜,E6400101,high,胡瓜（大黃瓜）
小黃瓜,E6400201,high,花胡瓜（小黃瓜）
花瓜,R4401601,high,醃漬花胡瓜
脆瓜,R4401601,medium,醃漬花胡瓜（脆瓜）
茄子,E7300101,high,長茄子；圓茄子 21 kcal
佛手瓜,E6600101,high,隼人瓜（佛手瓜）
扁蒲,E70001,high,蒲瓜平均值
蒲瓜,E70001,high,蒲瓜平均值
冬瓜,E62001,high,冬瓜平均值
冬瓜塊,E62001,high,冬瓜平均值
冬瓜糖,N0900101,high,冬瓜糖磚
南瓜,E63001,high,南瓜平均值
番茄,E74001,high,大番茄平均值(紅色系)
蕃茄,E74001,high,大番茄平均值(紅色系)
甜椒,E75001,high,甜椒平均值(青皮)
綠豆芽,E7700701,high,綠豆芽
豆芽菜,E7700701,high,綠豆芽
冷凍青花菜,E5800501,high,冷凍青花菜
酸菜,R4401401,high,酸菜
榨菜絲,R4401301,high,榨菜
紫菜,F0210101,high,紫菜（乾）
海帶根,F0700103,high,海帶梗
海帶結,F0700104,high,海帶結
海帶絲,F0700105,high,海帶絲
海帶片,F07001,medium,海帶平均值；官方無海帶片單一樣品
海根,F0700103,medium,海帶梗（食材名稱為海帶根的簡寫）
海結,F0700104,medium,海帶結（食材名稱為海帶結的簡寫）
海芽,F0800101,medium,裙帶菜（食材名稱為海帶芽的簡寫）
海帶芽,F0800101,high,裙帶菜（海帶芽）
木耳,G0100101,high,木耳
秀珍菇,G1200101,high,秀珍菇
杏鮑菇,G13002,high,杏鮑菇平均值
金針菇,G1600101,high,金針菇
鴻喜菇,G1900101,high,鴻喜菇
蘑菇,G2000101,high,洋菇
洋菇罐頭,R4500601,high,洋菇罐頭
紅豆,H0405101,high,紅豆
綠豆,H0705102,high,綠豆
長豆,H0800101,high,豇豆(莢)
四季豆,H1000301,high,冷凍菜豆(莢)
毛豆仁,H1100101,high,毛豆仁
毛豆,H1100101,medium,以毛豆仁計；若實際為帶莢毛豆請人工改正
豆腐,R4700901,medium,傳統豆腐（板豆腐）；嫩豆腐 53、雞蛋豆腐 79 kcal
油豆腐,R4701101,high,小三角油豆腐
百頁,R4700801,high,百頁豆腐
豆皮,R4700401,high,豆腐皮
白干絲,R4700201,high,豆干絲
大溪黑豆干,R4700301,high,黑豆干
素肉,R4800101,high,素肉
素肉丁,R4800101,medium,素肉（切丁）
素雞,R4800201,medium,冷凍素雞塊
素雞丁,R4800201,medium,冷凍素雞塊（切丁）
麵腸,R1700201,high,麵腸(未調味)
麵筋,R1700101,medium,麵筋(未調味)，為油炸麵筋泡
麵筋泡,R1700101,medium,麵筋(未調味)，為油炸麵筋泡
小魚干,J0800101,high,小魚干
柴魚片,J0800401,high,柴魚片
鯊魚丁,J0200301,high,鯊魚切片
虱目魚排,J04010,medium,虱目魚平均值(去皮)；月份差異 124-208 kcal
雞蛋,K01001,high,雞蛋平均值
白煮蛋,K0111101,high,雞水煮蛋
雞排,I04044,high,雞排平均值
翅腿,I0406301,high,翅腿(肉雞)
翅小腿,I0406301,medium,翅腿(肉雞)，同一部位
骨腿丁,I04041,high,骨腿平均值
米血糕,R0600101,high,豬血糕（米血糕）
米血,R0600101,high,豬血糕（米血糕）
肉羹,R5900101,high,肉羹
熱狗,R5300501,high,熱狗
甜不辣,R6700401,high,天婦羅（甜不辣）
貢丸,R5400201,high,冷凍貢丸
燒賣,R2900101,high,冷凍燒賣
鍋貼,R2201401,high,豬肉鍋貼
蝦捲,R6400301,high,冷凍蝦捲
年糕,Q0100101,medium,冷藏寧波年糕；甜年糕 242 kcal
年糕條,Q0100101,medium,冷藏寧波年糕
冬粉,R4600201,high,冬粉
粉絲,R4600201,high,冬粉
寬粉,R4600301,high,寬粉
寬冬粉,R4600301,high,寬粉
西谷米,R4100501,high,西谷米
粉圓,R4100201,high,粉圓
珍珠粉圓,R4100201,medium,粉圓
山粉圓,C1005101,high,山粉圓
椰奶,O9900301,high,椰奶
黑芝麻,C1610201,medium,熟黑芝麻；生黑芝麻 551 kcal
四季豆(冷凍),H1000301,high,冷凍菜豆(莢)
豆干,R4700202,medium,五香豆干；小方(白)豆干 161、黑豆干 197 kcal
豆干丁,R4700202,medium,五香豆干（切丁）
豆乾丁,R4700202,medium,五香豆干（切丁）
豆干片,R4700202,medium,五香豆干（切片）；官方豆干片(沙茶)為零食，不適用
碎豆干,R4700202,medium,五香豆干（切碎）
碎干丁,R4700202,medium,五香豆干（切碎丁）
1/4豆干,R4700202,medium,五香豆干（切四分之一）
地瓜,,,官方有 6 種甘藷樣品（114-138 kcal），需確認品種
地瓜條,,,油炸加工品，官方無對應樣品
地瓜薯條,,,油炸加工品，官方無對應樣品
薯餅,,,油炸加工品，官方無對應樣品
玉米,,,需確認為新鮮玉米(107)、冷凍玉米粒(174)或罐頭(90)
玉米粒,,,罐頭 90 kcal 與冷凍 174 kcal 差異大，需確認來源
香菇,,,新鮮香菇 39 kcal 與乾香菇 321 kcal 差異極大，需確認
香菇絲,,,新鮮或乾貨差異極大，需確認
鮮菇,,,名稱過於籠統，需確認菇種
金針花,,,新鮮 40 kcal 與乾金針 307 kcal 差異極大，需確認
花生,,,生、熟、油炸差異大（385-623 kcal），需確認
柳葉魚,,,官方有毛鱗魚 145 與裹粉未炸 171 兩種，需確認
魚丸,,,官方有虱目魚丸 206、旗魚丸 160、鱈魚丸 99，需確認魚種
排骨,,,官方資料庫查無豬排骨生鮮樣品
排骨丁,,,官方資料庫查無豬排骨生鮮樣品
大骨,,,熬湯用骨頭，官方無對應可食樣品
豬肉,,,需確認部位（後腿 123、頸肉 284 kcal 等）
豬排,,,需確認部位與是否裹粉
豬肉條,,,需確認部位與是否裹粉
肉絲,,,需確認肉種與部位
肉片,,,需確認肉種與部位
肉丁,,,需確認肉種與部位
絞肉,,,需確認肉種與肥瘦比例
雞肉,,,需確認部位（去皮清肉 117 至骨腿 196 kcal）
雞丁,,,需確認部位與是否裹粉
雞腿,,,需確認為骨腿、清腿或棒棒腿
雞翅,,,需確認生鮮或加工（冷凍烤雞翅 217 kcal）
雞柳條,,,裹粉加工品，需確認廠商規格
雞塊,,,裹粉加工品，需確認廠商規格
雞捲,,,加工品，需確認廠商規格
白麵,,,需確認為生麵條、熟油麵或乾麵條
麵輪,,,官方資料庫查無對應樣品
烤麩,,,官方資料庫查無對應樣品
福菜,,,官方資料庫查無對應樣品
朴菜,,,官方資料庫查無對應樣品
素火腿,,,官方資料庫查無對應樣品
黑輪,,,官方資料庫查無對應樣品
海茸,,,官方僅有乾海茸芯 254 kcal，與泡發品差異極大
