tfda_code,sample_name,alias,category,kcal_per_100g,modified_kcal_per_100g,protein_g,fat_g,carbohydrate_g,waste_percent,unit_weight
A0200101,小米,,穀物類,370.0,365.0,11.3,3.7,71.7,,0.0克
A05002,稉米平均值,"蓬萊米,圓米",穀物類,354.0,352.0,7.0,0.7,77.8,,222.8克
A05005,稉型糯米平均值,圓糯米,穀物類,358.0,357.0,8.3,0.8,77.4,,215.0克
A0500801,黑秈糯糙米,"黑糯米,紫糯米,紫米,貢米,長生米",穀物類,357.0,350.0,10.1,3.5,70.1,,195.0克
A05010,胚芽稉米平均值,,穀物類,362.0,358.0,8.2,1.6,76.8,,220.0克
A05013,糙稉米平均值,糙米,穀物類,364.0,355.0,7.4,2.3,76.6,,212.0克
A0510301,五穀米,,穀物類,358.0,348.0,8.7,2.9,72.9,,212.0克
A0800101,燕麥,,穀物類,406.0,388.0,10.9,10.2,67.4,,195.0克
A0810101,燕麥片,,穀物類,393.0,383.0,12.3,9.7,64.1,,84.0克
A0900101,蕎麥(甜蕎),三角米,穀物類,361.0,353.0,11.0,2.9,71.3,,194.0克
A1000101,薏仁,"薏仁,薏苡仁",穀物類,378.0,375.0,14.1,6.1,66.2,,192.0克
A1100101,紅藜麥,,穀物類,379.0,361.0,12.1,6.7,66.8,0.0,13.0克
B01002,山藥平均值,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,85.0,83.0,2.8,0.1,17.8,19.2,838.3克
B0500101,芋頭,"芋頭,芋艿,芋乃,芋仔,青芋,土芝",澱粉類,128.0,123.0,2.5,1.1,26.4,13.2,0.0克
B0600101,豆薯,"刈薯,涼薯,葛薯,沙葛,地瓜,三角薯",澱粉類,31.0,29.0,0.7,0.1,6.8,6.9,601.0克
B0700201,馬鈴薯,"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",澱粉類,77.0,74.0,2.6,0.2,15.8,9.8,121.0克
C1005101,山粉圓,,堅果及種子類,400.0,280.0,16.3,12.8,58.0,,0.0克
C1610201,黑芝麻(熟),,堅果及種子類,599.0,571.0,17.3,54.4,20.6,,119.0克
D0200201,青木瓜,"青番木瓜,青番瓜",水果類,29.0,25.0,0.6,0.1,7.2,17.6,762.0克
E02001,胡蘿蔔平均值,"紅蘿蔔,紅菜頭,黃蘿蔔,丁香蘿蔔,人參,金筍",蔬菜類,39.0,34.0,1.1,0.1,8.9,15.4,105.0克
E04001,白蘿蔔平均值,"蘿蔔,菜頭,萊菔,蘆萉,仙人骨,大菜,大根",蔬菜類,18.0,16.0,0.5,0.1,3.9,9.0,917.5克
E0420101,蘿蔔乾,"菜脯乾,菜脯",蔬菜類,58.0,44.0,2.2,1.2,10.8,,0.0克
E0900101,球莖甘藍,"大頭菜,結頭菜,芥頭,菜菜鵠,菜叩,莖藍,蕪菁蕓苔",蔬菜類,20.0,18.0,1.6,0.2,3.6,27.4,1084.0克
E1100101,熟桂竹筍,"桂竹仔筍,石竹仔筍,簍竹,筀竹筍",蔬菜類,21.0,18.0,2.1,0.2,3.5,,224.0克
E1400101,麻竹筍,"蔴竹,甜竹,巨竹,坭竹,大綠竹,瓦坭竹,巨麻竹,美濃麻竹,吊絲麻竹",蔬菜類,22.0,19.0,1.4,0.1,4.4,51.1,669.0克
E1900102,粉薑,"薑仔,生薑,生姜,羌,蘘荷,茗荷,甘露子,紫薑",蔬菜類,28.0,23.0,1.0,0.3,6.1,9.0,0.0克
E2400301,黃洋蔥,"玉蔥,蔥頭,球蔥,胡蔥,日本蔥頭,大粒蔥頭,洋蔥頭,大蔥頭",蔬菜類,42.0,39.0,1.0,0.2,9.5,6.3,267.0克
E2500101,紅蔥頭,"油蔥頭,珠蔥頭,分蔥頭,大頭蔥頭,四季蔥頭",蔬菜類,75.0,70.0,3.4,0.3,16.4,14.4,7.0克
E2600201,韮菜,"韮,塊莖蒜,起陽草(韮/韭通用)",蔬菜類,23.0,18.0,1.9,0.4,3.9,3.2,0.0克
E2700101,九層塔,"千層塔,羅勒,家佩蘭,零陵菜,香菜(草),薰草,西王母菜,塞香菜,光明子,醒頭香",蔬菜類,27.0,21.0,2.9,0.3,4.4,23.7,0.0克
E30001,甘藍平均值,"高麗菜,包菜,洋白菜,玻璃菜,玉菜,捲心菜,球葉甘藍,結球甘藍,蕃芥藍",蔬菜類,23.0,21.0,1.3,0.1,4.8,9.0,1371.7克
